trstepF lambdaF nF trstepR lambdaR nR maxI(T;Y) correspondingI(X;T) maxI(T;Y) correspondingI(X;T) maxI(T;Y) correspondingI(X;T) maxI(T;Y) correspondingI(X;T) maxI(T;Y) correspondingI(X;T) maxI(T;Y) correspondingI(X;T)
100 10.0 5 100 0.0 5 0.99916 11.99902 0.99916 11.99689 0.99818 11.82613 0.99263 10.57650 0.98894 4.02435 0.96070 1.74396 
100 10.0 5 100 0.0 5 0.99916 11.99902 0.99916 11.98859 0.99672 11.81145 0.99867 9.47301 0.98702 4.08534 0.97100 1.69319 
100 10.0 5 100 0.0 5 0.99916 12.00000 0.99916 11.99054 0.99916 11.94091 0.99555 10.66098 0.94540 5.15602 0.88290 1.71812 
100 1.0 5 100 0.0 5 0.99916 12.00000 0.99916 11.99298 0.99916 11.91368 0.99800 9.08197 0.99356 2.35276 0.98648 1.33577 
100 1.0 5 100 0.0 5 0.99916 12.00000 0.99916 11.98517 0.99519 11.34504 0.99525 7.77571 0.99174 2.56991 0.97461 1.61272 
100 1.0 5 100 0.0 5 0.99916 11.99902 0.99916 11.99658 0.99867 11.87601 0.98932 9.15848 0.98149 4.43682 0.91898 1.69280 
100 1.0 5 100 0.0 5 0.99916 12.00000 0.99916 11.98712 0.99867 11.93108 0.99290 9.71010 0.98269 3.17664 0.96175 1.48484 
100 1.0 5 100 0.0 5 0.99916 12.00000 0.99916 11.99902 0.99421 11.68813 0.98005 10.57107 0.97328 5.27500 0.93616 1.92476 
100 0.1 5 100 0.0 5 0.99916 12.00000 0.99916 11.99200 0.99818 11.69855 0.99525 9.11767 0.98077 3.13722 0.96372 1.71371 
100 0.1 5 100 0.0 5 0.99916 11.99902 0.99916 11.99737 0.99916 11.77623 0.99916 9.00155 0.99916 2.93232 0.99765 1.14025 
100 0.1 5 100 0.0 5 0.99916 11.99902 0.99916 11.94366 0.99507 11.69177 0.99042 10.90325 0.98342 4.59930 0.93733 2.08356 
100 0.1 5 100 0.0 5 0.99916 12.00000 0.99916 11.99737 0.99916 11.76737 0.99867 9.38236 0.99583 2.53571 0.98354 1.41951 
100 0.1 5 100 0.0 5 0.99916 12.00000 0.99916 11.99444 0.99653 11.70775 0.98291 8.72104 0.97409 2.99761 0.95620 1.75288 
100 0.01 5 100 0.0 5 0.99916 11.99902 0.99916 11.99884 0.99916 11.80659 0.99739 7.85010 0.98485 2.47230 0.96312 1.02790 
100 0.01 5 100 0.0 5 0.99916 12.00000 0.99916 11.98517 0.99720 11.86450 0.98595 11.24885 0.98075 7.01157 0.91883 2.37487 
100 0.01 5 100 0.0 5 0.99916 11.99902 0.99916 11.97491 0.99800 11.55907 0.99818 9.76022 0.98815 4.51600 0.97651 1.62061 
100 0.01 5 100 0.0 5 0.99916 12.00000 0.99916 11.99591 0.99458 11.72526 0.99189 10.51286 0.97519 3.82162 0.95054 1.86604 
100 0.01 5 100 0.0 5 0.99916 12.00000 0.99916 11.97350 0.99189 11.62566 0.98820 9.17708 0.98427 3.57802 0.96829 1.76152 
100 0.0 5 100 0.0 5 0.99916 12.00000 0.99916 11.99737 0.99330 11.73686 0.97932 10.90109 0.93082 6.29118 0.82513 2.04724 
100 0.0 5 100 0.0 5 0.99916 11.99609 0.99916 11.99902 0.99769 11.83549 0.98932 10.04043 0.98701 4.23569 0.96902 1.99961 
100 0.0 5 100 0.0 5 0.99916 11.99805 0.99916 11.99493 0.99317 11.03147 0.99478 7.46476 0.99026 2.19801 0.97627 1.38381 
100 0.0 5 100 0.0 5 0.99916 12.00000 0.99916 11.99707 0.99101 11.64375 0.96271 9.80130 0.96584 5.65406 0.94153 2.41826 
100 0.0 5 100 0.0 5 0.99916 12.00000 0.99916 11.99298 0.98450 10.99725 0.98930 7.96317 0.99217 2.54332 0.97435 1.25614 
100 0.0 5 100 0.001 5 0.99916 12.00000 0.99916 11.99054 0.99751 11.54196 0.99788 8.48603 0.99308 2.45559 0.97360 1.03833 
