trstepF lambdaF nF trstepR lambdaR nR maxI(T;Y) correspondingI(X;T) maxI(T;Y) correspondingI(X;T) maxI(T;Y) correspondingI(X;T) maxI(T;Y) correspondingI(X;T) maxI(T;Y) correspondingI(X;T) maxI(T;Y) correspondingI(X;T)
100 0.0 5 100 0.0001 5 0.99818 11.99268 0.92235 11.61695 0.66567 9.66784 0.67401 5.65634 0.67839 4.66018 0.81672 2.62282 
100 0.0 5 100 0.0001 5 0.99552 11.95364 0.97961 11.27112 0.90296 8.69522 0.89369 6.10221 0.84428 3.11126 0.84504 2.67559 
100 0.0 5 100 1e-05 5 0.99702 11.99054 0.93321 11.34747 0.62372 6.78903 0.68076 3.56616 0.64953 1.72334 0.78767 2.89884 
100 0.0 5 100 1e-05 5 0.99916 11.97177 0.99311 11.90653 0.97024 10.86268 0.76167 4.17757 0.63092 3.41131 0.78232 2.59111 
100 0.0 5 100 1e-05 5 0.99916 11.99805 0.96221 9.83032 0.89390 7.87831 0.76564 3.67375 0.73725 2.29923 0.72728 2.40231 
100 0.0 5 100 1e-05 5 0.98508 11.87028 0.99916 11.89315 0.90269 7.69113 0.85782 3.85013 0.77558 1.81294 0.78622 2.18701 
100 0.0 5 100 1e-05 5 0.99916 11.94873 0.96970 11.50652 0.94985 9.86734 0.89420 4.92105 0.82549 2.24992 0.83078 2.15043 
100 0.0 5 100 0.0 5 0.99916 11.94744 0.89644 11.23804 0.89380 9.80775 0.84913 5.58425 0.74894 2.09352 0.77909 2.50614 
100 0.0 5 100 0.0 5 0.99916 11.99902 0.94785 11.31116 0.88985 7.31984 0.85738 4.29948 0.78975 2.57539 0.91464 2.37641 
100 0.0 5 100 0.0 5 0.99391 11.86116 0.74422 9.75181 0.70562 6.58314 0.64057 5.80996 0.83315 3.64992 0.86035 2.63244 
100 0.0 5 100 0.0 5 0.99672 11.99170 0.91988 10.05151 0.93911 7.78837 0.76249 3.10622 0.76897 1.43846 0.79370 2.18475 
100 0.0 5 100 0.0 5 0.99702 11.94657 0.99555 11.77600 0.87336 7.85076 0.90904 7.43500 0.82876 1.43232 0.84694 2.14264 
100 0.0 5 100 0.001 5 0.99916 11.97739 0.75813 11.27616 0.79866 7.66216 0.84502 7.81670 0.80871 4.56394 0.80496 2.52955 
100 0.0 5 100 0.001 5 0.99916 11.99737 0.99330 11.23721 0.87699 3.58620 0.93086 5.40939 0.94597 2.37678 0.94564 2.07821 
100 0.0 5 100 0.001 5 0.99409 11.92002 0.97307 11.77596 0.90192 9.27288 0.94865 8.89364 0.82225 3.44014 0.85071 2.44336 
100 0.0 5 100 0.001 5 0.99916 11.99054 0.94574 9.99843 0.86365 7.85030 0.77557 4.48562 0.73521 1.95484 0.74741 2.16709 
100 0.0 5 100 0.001 5 0.99751 11.96322 0.88128 10.85485 0.80842 7.75676 0.86803 6.31601 0.84809 1.89776 0.84482 1.73228 
100 0.0 5 100 0.0001 5 0.99916 11.99835 0.97336 11.88767 0.83521 11.21350 0.62064 9.55293 0.61383 3.24107 0.87392 2.76528 
100 0.0 5 100 0.0001 5 0.99916 11.95303 0.99916 11.94265 0.93491 8.44336 0.92323 7.11791 0.86256 1.78032 0.85964 2.05815 
100 0.0 5 100 0.0001 5 0.99916 11.95371 0.98961 11.50546 0.92086 6.50903 0.86504 3.35817 0.90870 2.45587 0.91424 2.03332 
